State,Accidents_2018,Accidents_2019,Accidents_2020,Proportion_smokers,Current_smokers,number_of_veterans,Percentage_diabetic
Alabama,876,856,852,0.1849674179,761140,359506.40967725904,12.9
Alaska,69,62,53,0.187964261,111288,71453.58082337069,7.4
Arizona,918,908,967,0.1425565016,796004,508156.77803882904,9.7
Arkansas,476,473,585,0.1963228159,491610,211003.24145729904,11.7
California,3485,3427,3558,0.1063265478,3203562,1642997.8958796798,9.2
Colorado,588,545,574,0.1346010389,587137,385806.56049920595,7.1
Connecticut,275,233,279,0.1177123066,338849,171969.0134780761,8.2
Delaware,104,122,104,0.1532680272,124011,70958.1570398824,10.5
District of Columbia,30,22,34,0.1317339765,78869,29798.2741898603,8.3
Florida,2917,2952,3098,0.1464778583,2577420,1494804.339924,9.5
Georgia,1408,1378,1522,0.1583273768,1307100,690389.1548327741,10.7
Hawaii,110,102,81,0.1191733836,136408,112677.0645523328,9.5
Idaho,215,201,188,0.1331111079,176982,127641.15430815052,7.9
Illinois,951,938,1087,0.1420252844,1466080,608034.9132964701,9.3
Indiana,776,752,815,0.1941768826,1059118,406757.03032258904,10.5
Iowa,291,313,304,0.1567181749,400049,193860.592391558,9.0
Kansas,367,361,382,0.1582368749,360137,195433.9716397393,10.0
Kentucky,664,667,709,0.2159196622,820721,282767.27439838706,11.4
Louisiana,719,681,762,0.2008785746,776192,279286.69051242794,12.7
Maine,127,143,151,0.1580333657,179036,112626.0560479151,8.3
Maryland,485,496,540,0.1278740198,619227,372572.82417965494,9.1
Massachusetts,338,323,327,0.126825629,717716,309446.762217389,7.7
Michigan,907,903,1011,0.1730696256,1441675,562328.746925479,10.6
Minnesota,349,333,369,0.1345882506,594930,313912.281723842,7.8
Mississippi,596,580,687,0.1973421225,472648,187072.21373576697,13.1
Missouri,848,819,914,0.1875822269,948726,416035.170991287,9.4
Montana,167,166,190,0.1574909572,138198,89275.4573893311,7.8
Nebraska,201,212,217,0.1418374977,214738,125851.83686989351,8.9
Nevada,299,285,293,0.160598838,394177,219697.710075632,9.7
New Hampshire,134,90,98,0.1440306275,161207,101279.52609426698,7.5
New Jersey,524,524,547,0.1263551703,914841,338011.52103711304,8.6
New Mexico,351,369,365,0.1586794443,264465,149755.91924295403,11.0
New York,910,879,963,0.1300123283,2058331,747157.4717919431,9.1
North Carolina,1321,1358,1412,0.1561476651,1320956,703141.809746444,11.0
North Dakota,95,91,96,0.1662585669,103343,53254.4743874091,9.3
Ohio,996,1039,1154,0.1894820179,1842396,729645.003598923,10.9
Oklahoma,603,584,599,0.1799915086,576977,291315.473562173,11.9
Oregon,446,455,461,0.1479413668,504603,284141.1059845544,8.4
Pennsylvania,1103,990,1060,0.1692998068,1837177,769422.9904334289,9.8
Rhode Island,56,53,66,0.1370140018,120811,62224.261163492,9.0
South Carolina,969,927,962,0.1688861354,711229,393684.12089013006,11.9
South Dakota,110,88,132,0.1738387057,124347,65429.264958125306,7.0
Tennessee,973,1041,1119,0.2013896457,1119838,453620.722043927,12.5
Texas,3311,3296,3520,0.1426039395,3139192,1567233.1396883798,12.1
Utah,237,225,256,0.08449602826,188767,132959.75002305902,8.5
Vermont,60,44,58,0.1446679009,76344,42028.69657433919,6.7
Virginia,778,774,796,0.1491988967,1047461,707667.807837324,9.8
Washington,490,513,525,0.1249345349,747860,551512.38601397,7.9
West Virginia,265,247,249,0.2272271156,370689,135190.07310547808,13.1
Wisconsin,531,527,561,0.148191476,689747,350041.50008125097,7.6
Wyoming,100,120,114,0.169191161,82278,46906.484454034,7.5
